#主分类(中文)	HPO编号	名称(英文)	定义(英文)	中文译名	中文定义
体壁的异常	HP:0010816	Epidermal nevus	Epidermal naevi are due to an overgrowth of the epidermis and may be present at birth (50%) or develop during childhood.	表皮痣	表皮痣是因表皮过度增生所致，可在出生时即有（50%）或在幼儿期出现。
体壁的异常	HP:0010817	Linear nevus sebaceous	A type of `nevus sebaceous` (HP:0010815) with a linear form, raised borders and yellowish color.	线状皮脂腺痣	皮脂腺痣的一种，呈线型，外观淡黄色，边缘隆起。
神经系统异常	HP:0010818	Generalized tonic seizures	Generalized seizures with sustained increase in muscle contraction lasting a few seconds to minutes.	全面性强直发作	全身性发作，肌肉收缩持续增强持续几秒钟到几分钟。
神经系统异常	HP:0010819	Atonic seizures	Seizures characterized by a sudden loss or diminution of muscle tone, which may be fragmentary, confined to a segment (limb, jaw, head), or massive, leading to a slumping to the ground .	失张力癫痫发作	一种癫痫发作，其特征在于突然丧失肌肉张力，可以是局部的张力减低，局限在一个节段（肢，颚，头），或块状，导致患者下滑到地面。
神经系统异常	HP:0010820	Dacrystic seizures	A type of `seizure` (HP:0001250) characterized by crying or an outburst of crying as a major feature.	哭泣性癫痫	以哭或哭泣发作为特征的癫痫(HP:0001250)。
神经系统异常	HP:0010821	Gelastic seizures	A type of `seizure` (HP:0001250) characterized by laughing or an outburst of laughing as a major feature.	痴笑发作	癫痫发作（0001250 HP）的一种类型，表现为大笑或主要特点是爆发性大笑。
眼部异常	HP:0010822	Scintillating scotoma	A scintillating scotoma is a common visual aura that can preced a migraine, whereby a spot of flickering light near the center of the visual fields occurs. The spot prevents vision, and is thus termed scotoma. The scotoma can extend into one or more shimmering arcs of white or colored flashing lights.	闪烁的暗点	闪烁的暗点是一种常见的视觉先兆，可以是偏头痛的先兆，其中闪烁的灯光在视野中心点附近出现。盲点可延伸进入白色或有色闪灯的一个或多个波光弧。
骨骼系统异常,头部和颈部的异常	HP:0010823	Ridged cranial sutures	An overlap of the bony plates of the skull in an infant, with or without early closure.	脊颅缝	婴儿颅骨骨板的重叠，伴或不伴早闭。
神经系统异常	HP:0010824	Abnormality of the fifth cranial nerve	An abormality of the `fifth cranial nerve` (FMA:50866).	第五对颅神经异常	在`第五对颅神经`的异常（FMA:50866）。
神经系统异常	HP:0010825	Abnormality of the eleventh cranial nerve	Abnormality of the `eleventh cranial nerve` (FMA:6720).	第十一对颅神经异常	在&#39;十一对颅神经`异常（FMA:6720）。
神经系统异常,头部和颈部的异常	HP:0010826	Abnormality of the twelfth cranial nerve	Abnormality of the `twelfth cranial nerve` (FMA:50871).	第十二对颅神经异常	在&#39;第十二颅神经`异常（FMA:50871）。
神经系统异常	HP:0010827	Abnormality of the seventh cranial nerve	Abnormality of the `seventh cranial nerve` (FMA:50868) sometimes also referred to as the facial nerve.	第七对颅神经异常	在`第七颅神经`异常（FMA:50868），也被称为面神经。
神经系统异常	HP:0010828	Hemifacial spasm	A segmental myoclonus of muscles innervated by the facial nerve.	偏侧面肌痉挛	面神经支配肌肉的节段性肌阵挛。
神经系统异常	HP:0010829	Impaired temperature sensation	A reduced ability to discriminate between different temperatures.	温度觉障碍	辨别不同温度的能力下降。
神经系统异常	HP:0010830	Impaired tactile sensation	A reduced sense of touch (tactile sensation). This is usually tested with a wisp of cotton or a fine camel&#39;s hair brush, by asking patients to say &#39;now&#39; each time they feel the stimulus.	触觉障碍	触摸（触觉）感觉减退。通常使用棉毛或细驼绒毛刷进行测试，要求病人每次感觉到刺激时说“现在”。
神经系统异常	HP:0010831	Impaired proprioception	A loss or impairment of the sensation of the relative position of parts of the body and joint position.	本体感觉障碍	身体相应的位置和关节位置感觉的损害或缺失。
神经系统异常	HP:0010832	Abnormality of pain sensation	Pain is an unpleasant sensation that can range from mild, localized discomfort to agony, whereby the physical part of pain results from nerve stimulation and is often accompanied by an emotional component. This term groups abnormalities in pain sensation presumed to result from abnormalities related to the specific nerve fibers that carry the pain impulses to the brain.	痛觉异常	疼痛是一种不愉快的感觉，其程度从轻微、局部的不适感、到痛苦，由此物理性的疼痛来源于神经刺激，并经常伴随情绪性因素。痛觉异常，推测是由于的向大脑传递痛觉冲动的特定神经纤维异常所导致的。
神经系统异常	HP:0010833	Spontaneous pain sensation	Spontaneous pain is a kind of neuropathic pain which occurs without an identifiable trigger.	自发性疼痛感	自发痛是一种神经性疼痛其发生没有明确的诱发因素。
神经系统异常	HP:0010834	Trophic changes related to pain	Trophic changes is a term used to describe abnormalities in the area of pain that include primarily wasting away of the skin, tissues, or muscle, thinning of the bones, and changes in how the hair or nails grow, including thickening or thinning of hair or brittle nails.	与疼痛相关的营养改变	营养改变是用于描述疼痛区域的异常包括主要消瘦的皮肤、组织或肌肉，变薄的骨头，头发或指甲生长方式的改变，包括增稠或头发稀疏或指甲变脆。
神经系统异常	HP:0010835	Dissociated sensory loss	A pattern of sensory loss with selective loss of touch sensation and proprioception without loss of pain and temperature, or vice-versa.	分离性感觉缺失	一种感觉障碍，特点是选择性的触觉和本体感觉缺失，而痛温觉正常，反之亦然。
代谢紊乱/稳态失衡	HP:0010836	Abnormality of copper homeostasis	An `abnormal` ( PATO:0000460) `concentration` (PATO:0000033) of `copper` (CHEBI:28694).	铜稳态平衡异常	`异常`（PATO:0000460）的`铜`（CHEBI:28694）`浓度`（0000033 PATO）。
代谢紊乱/稳态失衡	HP:0010837	Decreased serum ceruloplasmin	A kind of `Abnormality of copper homeostasis` (HP:0010836) related to a `decreased concentration` (PATO:0001163) of `ceruloplasmin` (PR:000005794) in the `blood` (FMA:9670).	血清铜蓝蛋白降低	一种&#39;铜homeostasis`异常（HP:0010836）中的`blood`（FMA:9670）:对`ceruloplasmin`（000005794 PR）相关的`下降concentration`（0001163 PATO）。
代谢紊乱/稳态失衡	HP:0010838	High nonceruloplasmin-bound serum copper	An `increased concentration` (PATO:0001162) of non `ceruloplasmin` (PR:000005794) bound `copper` (CHEBI:28694) in the `blood` (FMA:9670).	高浓度非铜蓝蛋白结合型血清铜离子	非`ceruloplasmin`（PR:000005794）的约束`copper`（CHEBI:28694）在`blood`（FMA:9670）:一个`增加concentration`（0001162 PATO）。
代谢紊乱/稳态失衡	HP:0010839	Increased urinary copper concentration	An `increased concentration` (PATO:0001162) of `copper` (CHEBI:28694) in the `urine` (FMA:12274).	尿液铜浓度增高	的`copper`（CHEBI:28694）:一个`增加concentration`（0001162 PATO）在`urine`（FMA:12274）。
神经系统异常	HP:0010841	Multifocal epileptiform discharges	A abnormality in cerebral electrical activity recorded along the scalp by electroencephalography (EEG) and being identified at multiple locations (foci).	多灶性痫样放电	由脑电图记录到的多灶的大脑异常放电活动。
神经系统异常	HP:0010843	EEG with focal slow activity	Focal (localized) slow activity reflects focal dysfunction, not diffuse dysfunction (i.e., encephalopathy).	脑电图局灶性慢活动	局灶（局部）慢活动反映局灶脑功能障碍，而不是弥散脑功能障碍（即脑病）。
神经系统异常	HP:0010844	EEG with multifocal slow activity	Multifocal slowing of cerebral electrical activity recorded along the scalp by electroencephalography (EEG).	脑电图，多灶性慢活动	通过头皮脑电图（EEG）记录的多灶性慢的脑电活动。
神经系统异常	HP:0010845	EEG with generalized slow activity	Diffuse slowing of cerebral electrical activity recorded along the scalp by electroencephalography (EEG).	脑电图，广泛性慢活动	通过头皮脑电图（EEG）记录的弥漫性慢的脑电活动。
神经系统异常	HP:0010846	EEG with persistent abnormal rhythmic activity	The presence of abnormal persistent rhythmic activity in electroencephalogram	脑电图，异常的持续性节律活动	脑电图中出现异常的，持续性节律活动。
神经系统异常	HP:0010847	EEG with spike-wave complexes (&lt;2.5 Hz)	The presence of complexes of slow spikes and slow waves (&lt;2.5 Hz) in electroencephalography (EEG).	脑电图，（慢）棘慢复合波（&lt;2.5赫兹）	脑电图存在棘慢复合波（&lt;2.5赫兹）。
神经系统异常	HP:0010848	EEG with spike-wave complexes (2.5-3.5 Hz)	The presence of complexes of spikes and waves (2.5-3.5 Hz) in electroencephalography (EEG).	脑电图，棘慢复合波（2.5-3.5赫兹）	脑电图存在棘慢复合波（2.5-3.5赫兹）。
神经系统异常	HP:0010849	EEG with spike-wave complexes (&gt;3.5 Hz)	The presence of complexes of spikes and waves (&gt;3.5 Hz) in electroencephalography (EEG).	脑电图，（快）棘慢复合波（&gt; 3.5赫兹）	脑电图存在棘慢复合波（&gt; 3.5赫兹）。
神经系统异常	HP:0010850	EEG with spike-wave complexes	Complexes of spikes (&lt;70 ms) and sharp waves (70-200 ms), which are sharp transient waves that have a strong association with epilepsy, in cerebral electrical activity recorded along the scalp by electroencephalography (EEG).	脑电图，棘慢复合波	通过头皮脑电图记录的脑电活动:棘波（&lt;70毫秒）和尖波（70-200毫秒）的复合波，这是与癫痫密切相关的短暂尖波。
神经系统异常	HP:0010851	EEG with burst suppression	The burst suppression pattern in electroencephalography refers to a characteristic periodic pattern of low voltage (&lt;10 microvolts) suppressed background and a relatively shorter pattern of higher amplitude slow, sharp, and spiking complexes.	EEG伴爆发抑制	在脑电图中爆发抑制模式指的是低电压（&lt;10微伏）抑制背景和相对较短模式的较高波幅慢波，尖波，和棘波交替反复出现的波形。
神经系统异常	HP:0010852	EEG with photoparoxysmal response	EEG abnormalities (epileptiform discharges) evoked by flashing lights or black and white striped patterns.	脑电图，光阵发性反应	脑电图异常（癫痫样放电）由闪光刺激或黑色和白色条纹的图案诱发。
神经系统异常	HP:0010853	EEG with periodic lateralized epileptiform discharges	Periodic lateralized epileptiform discharges (PLEDs)are periodic, lateralized, and epileptiform. PLEDs show a relatively constant interval between discharges (0.5 to 3 seconds).	脑电图，周期性一侧癫痫样放电	周期性一侧性癫痫样放电（PLEDs）是指癫痫样波在单侧周期性出现 PLEDs显示放电以相对恒定的时间间隔（0.5至3秒）出现。
神经系统异常	HP:0010854	EEG with generalized low amplitude activity	An abnormal generalized reduction in amplitude of the cerebral electrical activity recorded along the scalp by electroencephalography (EEG).	脑电图，广泛性低波幅活动	通过头皮脑电图（EEG）记录的脑电活动，波幅普遍异常降低。
神经系统异常	HP:0010855	EEG with localized low amplitude activity	An abnormal localized reduction in amplitude of the cerebral electrical activity recorded along the scalp by electroencephalography (EEG).	脑电图，局部低波幅活动	通过头皮脑电图（EEG）记录的局部异常波幅降低脑电活动。
神经系统异常	HP:0010856	EEG with periodic complexes	Periodically occurring generalized periodic complexes.	脑电图，周期复合波	周期性出现的广泛性周期复合波。
神经系统异常	HP:0010857	EEG with periodic abnormalities	Periodically recurring abnormalities in the EEG.	脑电图，周期性异常	周期性重复的脑电图异常。
神经系统异常	HP:0010858	EEG with hyperventilation-induced epileptiform discharges	Epileptiform discharges induced by hyperventilation (overbreathing) in cerebral electrical activity recorded along the scalp by electroencephalography (EEG).	脑电图，过度换气诱发的癫痫样放电	通过头皮脑电图记录的脑电活动中，由过度换气诱发的癫痫样放电。
胎儿产前发育或出生异常	HP:0010859	Frank breech presentation	A kind of `breech presentation` (HP:0001623) in which the hips are flexed and the knees are extended.	单臀先露	“臀先露”(HP:0001623)的一种，胎儿双髋关节屈曲,双膝关节直伸。
胎儿产前发育或出生异常	HP:0010860	Complete breech presentation	A kind of `breech presentation` (HP:0001623) in which the hips are flexed and the knees are flexed.	完全臀先露	“臀先露”的一种（HP:0001623），胎儿髋关节及膝关节均屈曲。
胎儿产前发育或出生异常	HP:0010861	Incomplete breech presentation	A kind of `breech presentation` (HP:0001623) in which one or both hips are extended and one or both of the fetus&#39; feet are pointing down and entering the birth canal.	不完全臀先露	“臀先露”(HP:0001623)的一种，胎儿单侧或双侧髋关节直伸，胎儿一足或双足向下先进入产道。
神经系统异常	HP:0010862	Delayed fine motor development	A type of `motor delay` (HP:0001270) characterized by an delay in acquiring the ability to control the fingers and hands.	精细动作发育迟缓	以习得控制手指和手的能力延迟为特点的运动发育迟缓（HP:0001270）。
神经系统异常	HP:0010863	Receptive language delay	A delay in the acquisition of the ability to understand the speech of others.	接受性语言发育迟缓	理解他人语言能力的发育迟缓
神经系统异常	HP:0010864	Intellectual disability, severe	Severe mental retardation is defined as an intelligence quotient (IQ) in the range of 20-34.	重度智力残疾	重度精神发育迟滞定义为智商（IQ）在20-34的范围内。
神经系统异常	HP:0010865	Oppositional defiant disorder	An enduring pattern of uncooperative, defiant, and hostile behavior toward authority figures that does not involve major antisocial violations, is not accounted for by the child&#39;s developmental stage, and results in significant functional impairment. A certain level of oppositional behavior is common in children and adolescents.	对立违抗性障碍	一种不合作，挑衅和敌对权威人物的持久的模式，但不包括严重的反社会行为。此行为不能被儿童的发育阶段所解释，可导致严重的功能受损。但在儿童和青少年中一定程度的反抗行为是正常。
消化系统异常	HP:0010866	Abdominal wall defect	An `incomplete closure` (PATO:0000609) of the `abdominal wall` (FMA:259054).	腹壁缺损	腹壁的不完全闭合。
神经系统异常	HP:0010867	Dyssynergia	A type of `ataxia` (HP:0001251) characterized by the impairment of the ability to smoothly perform the elements of a voluntary movement in the appropriate order and speed. With dyssynergia, a voluntary movement appears broken down into its component parts.	协同失调	`共济失调`(HP:0001251)的一种，表现为按照适当的顺序和速度进行的随意运动能力受损。协调失调时，随意运动表现为它的组成部分的分解动作。
神经系统异常	HP:0010868	Ocular dyssynergia	A type of `dyssynergia` (HP:0010867) affecting eye movements and characterized by the inability to smoothly follow a visual target across the visual field.	眼协同失调	一种影响眼球运动的以无法流畅的在视野中追踪物体为特征的眼协同失调
神经系统异常	HP:0010869	Asynergia	A type of `dyssynergy` (HP:0010867) characterized by the lack of the ability to smoothly perform the elements of a voluntary movement in the appropriate order and speed.	协调不能	一种类型的`协调障碍`（HP:0010867），特点是缺乏以适当的顺序和速度平稳进行随意运动的能力。
神经系统异常	HP:0010871	Sensory ataxia	Incoordination of movement caused by a deficit in the sensory nervous system. Sensory ataxia can be distinguished from cerebellar ataxia by asking the patient to close his or her eyes. Persons with cerebellar ataxia show only a minimal worsening of symptoms, whereas persons with sensory ataxia show a marked worsening of symptoms.	感觉性共济失调	由于感觉神经系统功能障碍导致的运动不协调。可以通过让患者闭眼区分感觉性共济失调和小脑性共济失调。小脑性共济失调的人只显示轻微的症状恶化，而感觉性共济失调的人显示出显著的症状恶化。
心血管系统异常	HP:0010872	EKG: T-wave inversion	An inversion of the T-wave (which is normally positive).	心电图:T波倒置	T波的倒置（通常是正的）。
神经系统异常	HP:0010873	Cervical spinal cord atrophy	Atrophy of the cervical segment of the spinal cord.	颈髓萎缩	脊髓的颈段萎缩。
骨骼系统异常,体壁的异常	HP:0010874	Tendon xanthomatosis	The presence of xanthomas (intra-and extra-cellular accumulations of cholesterol) extensor tendons (typically over knuckles, Achilles tendon, knee, and elbows).	腱黄瘤病	在伸肌腱（通常在指关节、跟腱、膝和肘关节处皮肤）出现黄色瘤（胞内外的胆固醇聚集）。
神经系统异常	HP:0010875	Chaddock reflex	A diagnostic reflex elicited by stimulation of the skin over the surface of the lateral malleolus of the foot. The Chaddock reflex is present if there is extension of one or more or all of the toes with or without fanning of them when the external inframalleolar skin is stimulated. The Chaddock sign, similar to the Babinski sign, is taken to be an indication of disease of the spinocortical (pyramidal) tract.	查多克反射	刺激外踝下方足背外缘的皮肤引出的一种诊断性反射。如果刺激下踝外侧皮肤时出现一个、多个或所有脚趾背伸（伴或不伴扇形展开）为查多克反射阳性。查多克征与巴宾斯基征类似，被视为皮质脊髓（锥体）束受损的体征。
代谢紊乱/稳态失衡	HP:0010876	Abnormality of circulating protein level	An abnormal level of a circulating `protein` (CHEBI:16541) in the `blood` (FMA:9670).	循环系统内的蛋白水平异常	`血液 `（FMA:9670）中循环`蛋白`(CHEBI:16541)的水平异常。
眼部异常	HP:0010877	Unilateral strabismus	A type of strabismus`(HP:0000486) in which only one eye is affected. Unilateral strabismus is to be distinguished from alternating strabismus, in which either of the eyes &#39;squints&#39; at different times.	单侧斜视	单眼斜视的一种，只有一只眼睛受到影响。单侧斜视需要与交替斜视区分开，后者为双眼在不同时间点交替发生“斜视”。
代谢紊乱/稳态失衡,头部和颈部的异常,胎儿产前发育或出生异常	HP:0010878	Fetal cystic hygroma	The presence during the prenatal period of a cystic mass with multiple septa with multiple, asymmetric, thin-walled cysts near the posterior aspect of the neck. Fetal cystic hygroma can be defined as nuchal translucency with or without septations measuring greater than 3.0 mm.	胎儿囊状水瘤	产前期间出现，颈部后方附近的囊性包块，由多个隔片及多个不对称的薄壁包囊组成。胎囊状水瘤可以被定义为有或没有分隔的长度大于3毫米的颈部半透明物。
头部和颈部的异常	HP:0010879	Postnatal cystic hygroma	#####	出生后囊状水瘤	#####
代谢紊乱/稳态失衡,胎儿产前发育或出生异常	HP:0010880	Increased nuchal translucency	The presence of an abnormally large hypoechoic space in the posterior fetal neck (usually detected on prenatal ultrasound examination).	颈部透明层厚度增加	胎儿颈后皮下组织内的低回声层异常增厚（通常为产前超声检查项目）。
胎儿产前发育或出生异常	HP:0010881	Abnormality of the umbilical cord	An abnormality of the `umbilical cord` (FMA:85541), which is the cord connecting the developing embryo or fetus to the placenta.	脐带异常	胚胎或胎儿与胎盘间的纽带的异常。
心血管系统异常	HP:0010882	Pulmonary valve atresia	A congenital disorder of the pulmonary valve in which the orifice of the valve fails to develop.	肺动脉瓣闭锁	肺动脉瓣的先天疾病，其中该瓣膜的节流孔发育不良。
心血管系统异常	HP:0010883	Aortic valve atresia	A congenital disorder of the aortic valve in which the orifice of the valve fails to develop.	主动脉瓣闭锁	主动脉瓣的先天性疾病，瓣膜口发育缺陷。
肢体异常,骨骼系统异常	HP:0010884	Acromelia	Shortening of the extremities affecting primarily the distal parts of the limbs (hands and feet) in relation to the other segments of the limbs.	肢端短缩	相对于肢体的其他节段，主要影响影响四肢远端部分（手和脚）的肢端短缩。
骨骼系统异常	HP:0010885	Aseptic necrosis	A disease where there is cellular death (necrosis) of bone components due to interruption of the blood supply.	无菌性骨坏死	疾病处有由于血液供应中断引起的骨成分坏死。
骨骼系统异常	HP:0010886	Osteochondrosis dissecans	A joint disorder caused by blood deprivation in the subchondral bone causing the subchondral bone to die in a process called avascular necrosis. The bone is then reabsorbed by the body, leaving the articular cartilage it supported prone to damage. The result is fragmentation (dissection) of both cartilage and bone, and the free movement of these osteochondral fragments within the joint space, causing pain and further damage.	骨软骨炎	由软骨下骨供血不足引起软骨下骨坏死引起的关节疾病，称为股骨头缺血性坏死。骨随后由身体再吸收，而使它支持的关节软骨容易损坏。其结果是软骨和骨碎片化，且这些骨软骨碎片在关节间隙内自由运动，引起疼痛和进一步的损害。
肢体异常,骨骼系统异常	HP:0010888	Morbus Koehler	Morbus Koehler is a `Juvenile aseptic necrosis` (HP:0100323) affecting the Os naviculare pedis.	克勒病	克勒病是一种青少年型累及舟状骨的无菌坏死（HP:0100323）。
肢体异常,骨骼系统异常	HP:0010889	Morbus Kienboeck	Morbus Kienboeck is a `Juvenile aseptic necrosis` (HP:0100323) affecting the Os lunatum.	金伯克病	金伯克病是一种青少年型累及月状骨的无菌坏死（HP:0100323）。
肢体异常,骨骼系统异常	HP:0010890	Morbus Osgood-Schlatter	Morbus Osgood-Schlatter is a `Juvenile aseptic necrosis` (HP:0100323) affecting the Tuberositas tibiae.	奥斯古德 - 施拉特病	奥斯古德 - 施拉特是一种青少年型累及胫骨粗隆的无菌坏死（HP:0100323）。
骨骼系统异常	HP:0010891	Morbus Scheuermann	A developmental growth retardation of the vertebral end plates that may lead to secondary destruction of the vertebral end plates and protrusion of the nucleus pulposus into the vertebral body (so called Schmorl&#39;s nodes as seen on x-rays).	脊椎驼背后凸症	椎骨端板可能导致椎骨端板的二次破坏和髓核到椎体的突起的发育生长迟缓（所以在X射线下称为Schmorl的节点）。
代谢紊乱/稳态失衡	HP:0010892	Abnormality of branched chain family amino acid metabolism	Abnormality of a `branched chain family amino acid metabolic process` (GO:0009081).	支链族氨基酸代谢异常	支链族氨基酸代谢异常。
代谢紊乱/稳态失衡	HP:0010893	Abnormality of phenylalanine metabolism	An abnormality of `L-phenylalanine metabolic process` (GO:0006558).	苯丙氨酸代谢异常	``左旋-苯丙氨酸代谢过程`（GO:0006558）的异常。
代谢紊乱/稳态失衡	HP:0010894	Abnormality of serine family amino acid metabolism	An abnormality of a `serine family amino acid metabolic process` (GO:0009069).	丝氨酸族氨基酸代谢异常	`丝氨酸族氨基酸代谢过程`（GO:0009069）的异常。
代谢紊乱/稳态失衡	HP:0010895	Abnormality of glycine metabolism	An abnormality of a `glycine metabolic process` (GO:0006544).	甘氨酸代谢异常	`甘氨酸代谢过程`（GO:0006544）的异常。
代谢紊乱/稳态失衡	HP:0010896	Hypersarcosinemia	An elevated plasma concentration of `sarcosine` (CHEBI:15611).	高肌氨酸血症	的`sarcosine`升高血药浓度（CHEBI:15611）。
代谢紊乱/稳态失衡	HP:0010897	Hypersarcosinuria	An elevated urinary concentration of `sarcosine` (CHEBI:15611).	高肌氨酸尿症	的`sarcosine`升高尿中浓度（CHEBI:15611）。
代谢紊乱/稳态失衡	HP:0010898	Abnormality of sarcosine metabolism	An abnormality of the metabolism of `sarcosine` (CHEBI:15611).	肌氨酸代谢异常	`肌氨酸`（CHEBI:15611）的代谢异常。
代谢紊乱/稳态失衡	HP:0010899	Abnormality of aspartate family amino acid metabolism	Abnormality of a `aspartate family amino acid metabolic process` (GO:0009066).	天冬氨酸族的氨基酸代谢异常	天冬氨酸族的氨基酸代谢异常。
代谢紊乱/稳态失衡	HP:0010900	Abnormality of threonine metabolism	Abnormality of a `threonine metabolic process` (GO:0006566).	苏氨酸代谢异常	`苏氨酸代谢过程`（GO:0006566）的异常。
代谢紊乱/稳态失衡	HP:0010901	Abnormality of methionine metabolism	An abnormality of `methionine metabolic process` (GO:0006555).	甲硫氨酸代谢异常	`甲硫氨酸代谢过程`（GO:0006555）的异常。
代谢紊乱/稳态失衡	HP:0010902	Abnormality of glutamine family amino acid metabolism	An abnormality of a `glutamine family amino acid metabolic process` (GO:0009064).	谷氨酰胺族氨基酸代谢异常	`谷氨酰胺族氨基酸代谢过程`（GO:0009064）的异常。
代谢紊乱/稳态失衡	HP:0010903	Abnormality of glutamine metabolism	An abnormality of a `glutamine metabolic process` (GO:0006541).	谷氨酰胺代谢异常	`谷氨酰胺代谢过程`（GO:0006541）的异常。
代谢紊乱/稳态失衡	HP:0010904	Abnormality of histidine family amino acid metabolism	An abnormality of a `histidine family amino acid metabolic process` (GO:0009075).	组氨酸族氨基酸代谢异常	&#39;组氨酸族氨基酸代谢过程`（GO:0009075）的异常。
	HP:0010905	Abnormality of histidine metabolism	An abnormality of `histidine metabolic process` (GO:0006547).	组氨酸代谢异常	`组氨酸代谢过程`（GO:0006547）的异常。
代谢紊乱/稳态失衡	HP:0010906	Hyperhistidinemia	An increased concentration of `histidine` (CHEBI:27570) in the `blood` (FMA:9670).	高组氨酸血症	在`blood`:`histidine`（27570 CHEBI）浓度增加（FMA:9670）。
代谢紊乱/稳态失衡	HP:0010907	Abnormality of proline metabolism	An abnormality of a `proline metabolic process` (GO:0006560).	脯氨酸代谢异常	`脯氨酸代谢过程`（GO:0006560）的异常。
代谢紊乱/稳态失衡	HP:0010908	Abnormality of lysine metabolism	An abnormality of a `lysine metabolic process` (GO:0006553).	赖氨酸代谢异常	`赖氨酸代谢过程`（GO:0006553）的异常。
代谢紊乱/稳态失衡	HP:0010909	Abnormality of arginine metabolism	An abnormality of a `arginine metabolic process` (GO:0006525).	精氨酸代谢异常	`精氨酸代谢过程`（GO:0006525）中的异常。
代谢紊乱/稳态失衡	HP:0010910	Hypervalinemia	An increased concentration of `valine` (CHEBI:27266) in the `blood` (FMA:9670).	高缬氨酸血症	在`blood`:`valine`（27266 CHEBI）浓度增加（FMA:9670）。
代谢紊乱/稳态失衡	HP:0010911	Hyperleucinemia	An increased concentration of `leucine` (CHEBI:25017) in the blood.	高亮氨酸血症	血液中的:`leucine`（25017 CHEBI）的浓度增加。
代谢紊乱/稳态失衡	HP:0010912	Abnormality of isoleucine metabolism	An abnormality of a `isoleucine metabolic process` (GO:0006549).	异亮氨酸代谢异常	`异亮氨酸代谢过程`（GO:0006549）的异常。
代谢紊乱/稳态失衡	HP:0010913	Hyperisoleucinemia	An increased concentration of `isoleucine` (CHEBI:24898) in the `blood` (FMA:9670).	高异亮氨酸血症	在`blood`:`isoleucine`（24898 CHEBI）浓度增加（FMA:9670）。
代谢紊乱/稳态失衡	HP:0010914	Abnormality of valine metabolism	An abnormality of a `valine metabolic process` (GO:0006573).	缬氨酸代谢异常	`缬氨酸代谢过程`（GO:0006573）的异常。
代谢紊乱/稳态失衡	HP:0010915	Abnormality of pyruvate family amino acid metabolism	An abnormality of a `pyruvate family amino acid metabolic process` (GO:0009078).	丙酮酸族氨基酸代谢异常	`丙酮酸族氨基酸代谢过程`（GO:0009078）的异常。
代谢紊乱/稳态失衡	HP:0010916	Abnormality of alanine metabolism	An abnormality of an `alanine metabolic process` (GO:0006522).	丙氨酸代谢异常	`丙氨酸代谢过程`（GO:0006522）中的异常。
代谢紊乱/稳态失衡	HP:0010917	Abnormality of tyrosine metabolism	An abnormality of a `tyrosine metabolic process` (GO:0006570).	酪氨酸代谢异常	`酪氨酸代谢过程`（GO:0006570）的异常。
代谢紊乱/稳态失衡	HP:0010918	Abnormality of cysteine metabolism	An abnormality of a `cysteine metabolic process` (GO:0006534).	半胱氨酸代谢异常	`半胱氨酸代谢过程`（GO:0006534）的异常。
代谢紊乱/稳态失衡	HP:0010919	Abnormality of homocysteine metabolism	An abnormality of a `homocysteine metabolic process` (GO:0050667).	同型半胱氨酸代谢异常	&#39;同型半胱氨酸的代谢过程`（GO:0050667）的异常。
眼部异常	HP:0010920	Zonular cataract	Zonular cataracts are defined to be cataracts that affect specific regions of the lens.	板层状白内障	#####
眼部异常	HP:0010921	Coralliform cataract	A &#39;coral-like&#39; pattern of opacity in the lens of the eye. That is, a cataract with an irregular, stellate form.	珊瑚状白内障	晶状体上“珊瑚状”的浑浊。即，具有不规则、星形浑浊的白内障。
眼部异常	HP:0010922	Membranous cataract	A form of cataract in which the lens substance has shrunk, leaving a collapsed, flattened capsule with little or no cortex or epithelium on the lens.	膜性白内障	一种特殊类型的白内障，晶体物质缩小，压平囊膜，晶体上很少或没有皮质或上皮细胞。
眼部异常	HP:0010923	Anterior subcapsular cataract	A type of cataract affecting the `Anterior pole of lens` (FMA:58897) immediately adjacent to (&#39;beneath&#39;) the `Lens capsule` (FMA:58881).	前囊下白内障	白内障累及晶状体的前极（FMA:58897），紧邻晶状体前囊膜`（FMA:58881）。
眼部异常	HP:0010924	Posterior cortical cataract	A `cataract` (HP:0000518) that affects the posterior part of the `cortex of the lens` (FMA:58970).	后皮质型白内障	此型白内障主要累及晶体后方的皮质。
眼部异常	HP:0010925	Nuclear punctate cataract	Nuclear punctate cataract， one type of cataract	核性点状白内障	#####
眼部异常	HP:0010926	Aculeiform cataract	A kind of nuclear cataract characterized by fiberglasslike or needlelike crystals projecting in different directions, through or close to the axial region of the lens.	Aculeiform 白内障	一种核性白内障，其特征为玻璃纤维状或针状晶体突起呈放射状排列，主要位于或邻近晶体的瞳孔轴向区。
代谢紊乱/稳态失衡	HP:0010927	Abnormality of divalent inorganic cation homeostasis	An abnormality of `divalent inorganic cation homeostasis` (GO:0072507).	二价无机阳离子稳态平衡异常	`二价无机阳离子稳态平衡`（GO:0072507）的异常。
代谢紊乱/稳态失衡	HP:0010928	Abnormality of orotic acid metabolism	An abnormality of the metabolism of `orotic acid` (CHEBI:16742).	乳清酸代谢异常	`乳清酸`（CHEBI:16742）的代谢异常。
代谢紊乱/稳态失衡	HP:0010929	Abnormality of cation homeostasis	An abnormality of `cation homeostasis` (GO:0055080).	阳离子的稳态平衡异常	`阳离子体内稳态平衡`的异常（GO:0055080）。
